Saskatchewan, province d'origine (3);Manitoba, province de destination (3);v32211660;8.7;591;668;484;325
Saskatchewan, province d'origine (3);Alberta, province de destination (3);v32211661;8.9;2766;3794;2332;1859
Saskatchewan, province d'origine (3);Colombie-Britannique, province de destination (3);v32211662;8.10;726;1037;769;622
Saskatchewan, province d'origine (3);Yukon, province de destination (3);v32211663;8.11;57;23;0;0
Saskatchewan, province d'origine (3);Territoires du Nord-Ouest, province de destination (6);v32211665;8.13;32;23;22;23
Saskatchewan, province d'origine (3);Nunavut, province de destination (6);v32211666;8.14;13;0;0;0
Alberta, province d'origine (3);Terre-Neuve-et-Labrador, province de destination (3);v32211667;9.1;777;1089;553;474
Alberta, province d'origine (3);Île-du-Prince-Édouard, province de destination (3);v32211668;9.2;116;69;150;64
Alberta, province d'origine (3);Nouvelle-Écosse, province de destination (3);v32211669;9.3;507;830;594;546
Alberta, province d'origine (3);Nouveau-Brunswick, province de destination (3);v32211670;9.4;402;600;448;363
Alberta, province d'origine (3);Québec, province de destination (3);v32211671;9.5;391;676;648;521
Alberta, province d'origine (3);Ontario, province de destination (3);v32211672;9.6;2995;4771;4382;3199
Alberta, province d'origine (3);Manitoba, province de destination (3);v32211673;9.7;934;916;1048;724
Alberta, province d'origine (3);Saskatchewan, province de destination (3);v32211674;9.8;2192;3269;2423;1642
Alberta, province d'origine (3);Colombie-Britannique, province de destination (3);v32211675;9.10;4651;7885;5994;4163
Alberta, province d'origine (3);Yukon, province de destination (3);v32211676;9.11;114;126;11;11
Alberta, province d'origine (3);Territoires du Nord-Ouest, province de destination (6);v32211678;9.13;173;137;67;78
Alberta, province d'origine (3);Nunavut, province de destination (6);v32211679;9.14;24;70;29;29
Colombie-Britannique, province d'origine (3);Terre-Neuve-et-Labrador, province de destination (3);v32211680;10.1;88;151;135;15
Colombie-Britannique, province d'origine (3);Île-du-Prince-Édouard, province de destination (3);v32211681;10.2;44;138;36;27
Colombie-Britannique, province d'origine (3);Nouvelle-Écosse, province de destination (3);v32211682;10.3;230;514;298;310
Colombie-Britannique, province d'origine (3);Nouveau-Brunswick, province de destination (3);v32211683;10.4;137;175;129;91
Colombie-Britannique, province d'origine (3);Québec, province de destination (3);v32211684;10.5;275;699;635;523
Colombie-Britannique, province d'origine (3);Ontario, province de destination (3);v32211685;10.6;2578;4178;3318;2123
Colombie-Britannique, province d'origine (3);Manitoba, province de destination (3);v32211686;10.7;481;811;659;323
Colombie-Britannique, province d'origine (3);Saskatchewan, province de destination (3);v32211687;10.8;760;1352;1040;532
Colombie-Britannique, province d'origine (3);Alberta, province de destination (3);v32211688;10.9;7128;9991;6869;5047
Colombie-Britannique, province d'origine (3);Yukon, province de destination (3);v32211689;10.11;96;184;50;111
Colombie-Britannique, province d'origine (3);Territoires du Nord-Ouest, province de destination (6);v32211691;10.13;53;152;70;69
Colombie-Britannique, province d'origine (3);Nunavut, province de destination (6);v32211692;10.14;28;85;51;32
Yukon, province d'origine (3);Terre-Neuve-et-Labrador, province de destination (3);v32211693;11.1;15;0;0;0
Yukon, province d'origine (3);Île-du-Prince-Édouard, province de destination (3);v32211694;11.2;0;0;0;0
Yukon, province d'origine (3);Nouvelle-Écosse, province de destination (3);v32211695;11.3;37;11;22;0
Yukon, province d'origine (3);Nouveau-Brunswick, province de destination (3);v32211696;11.4;21;0;0;0
Yukon, province d'origine (3);Québec, province de destination (3);v32211697;11.5;0;55;47;55
Yukon, province d'origine (3);Ontario, province de destination (3);v32211698;11.6;45;56;71;122
Yukon, province d'origine (3);Manitoba, province de destination (3);v32211699;11.7;0;0;8;0
Yukon, province d'origine (3);Saskatchewan, province de destination (3);v32211700;11.8;0;38;34;19
Yukon, province d'origine (3);Alberta, province de destination (3);v32211701;11.9;91;112;46;20
Yukon, province d'origine (3);Colombie-Britannique, province de destination (3);v32211702;11.10;114;390;144;145
Yukon, province d'origine (3);Territoires du Nord-Ouest, province de destination (6);v32211704;11.13;40;20;19;41
Yukon, province d'origine (3);Nunavut, province de destination (6);v32211705;11.14;0;10;10;0
Territoires du Nord-Ouest, province d'origine (6);Terre-Neuve-et-Labrador, province de destination (3);v32211717;13.1;0;19;0;0
Territoires du Nord-Ouest, province d'origine (6);Île-du-Prince-Édouard, province de destination (3);v32211718;13.2;0;0;0;0
Territoires du Nord-Ouest, province d'origine (6);Nouvelle-Écosse, province de destination (3);v32211719;13.3;54;55;11;11
Territoires du Nord-Ouest, province d'origine (6);Nouveau-Brunswick, province de destination (3);v32211720;13.4;0;68;0;0
Territoires du Nord-Ouest, province d'origine (6);Québec, province de destination (3);v32211721;13.5;0;49;37;12
Territoires du Nord-Ouest, province d'origine (6);Ontario, province de destination (3);v32211722;13.6;82;170;77;29
Territoires du Nord-Ouest, province d'origine (6);Manitoba, province de destination (3);v32211723;13.7;0;0;10;0
Territoires du Nord-Ouest, province d'origine (6);Saskatchewan, province de destination (3);v32211724;13.8;52;56;19;9
Territoires du Nord-Ouest, province d'origine (6);Alberta, province de destination (3);v32211725;13.9;448;283;195;122
Territoires du Nord-Ouest, province d'origine (6);Colombie-Britannique, province de destination (3);v32211726;13.10;138;119;110;30
Territoires du Nord-Ouest, province d'origine (6);Yukon, province de destination (3);v32211727;13.11;109;62;42;42
Territoires du Nord-Ouest, province d'origine (6);Nunavut, province de destination (6);v32211728;13.14;14;19;7;7
Nunavut, province d'origine (6);Terre-Neuve-et-Labrador, province de destination (3);v32211729;14.1;36;0;13;0
Nunavut, province d'origine (6);Île-du-Prince-Édouard, province de destination (3);v32211730;14.2;0;17;0;0
